"countrycode","country","year","polity5","democracy","gdppc","gdppc_growth","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","oda","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csprtcpt","v2csgender","v2csantimv","v2csrlgrep","v2csrlgcon","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2x_libdem","v2x_neopat","v2dlencmps","v2elembaut","v2elvotbuy","v2exbribe","v2exembez","v2exrescon","v2jucomp","v2jucorrdc","v2juhccomp","v2juhcind","v2juncind","v2lgcrrpt","v2lgfunds","v2lginvstp","v2lgotovst","v2psprlnks","v2xnp_client"
"ARG","ARGENTINA",1960,5,1,778.251706763404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20386045,49.9141839429865,NA,NA,NA,NA,264795318.603516,NA,NA,NA,NA,NA,6.35225057601929,NA,64.242,61.202,67.789,NA,NA,NA,NA,1.55,"Americas","South America",0.788,1.337,1.204,1.125,1.292,0.288,-0.974,2.128,2.305,0,0.5,0.667,0.5,0,0.5,0,0,0,0.167,0.833,0,0,0,0.356,0.365,0.785,0.039,0.3,0.884,0.436,0.949,0.622,0.851,1.292,-0.193,0.094,0.868,1.689,0.464,0.121,0.863,0.354
"ARG","ARGENTINA",1961,5,1,971.338043308372,24.8102683061212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20726276,49.9721705915718,NA,NA,NA,NA,381292022.705078,NA,NA,NA,NA,NA,NA,NA,64.631,61.526,68.236,NA,NA,NA,NA,2.14,"Americas","South America",0.788,1.337,1.204,1.125,1.292,0.288,-0.974,2.128,2.305,0,0.5,0.667,0.5,0,0.5,0,0,0,0.167,0.833,0,0,0,0.362,0.346,0.785,0.039,0.3,0.884,0.436,0.949,0.622,0.851,1.292,-0.193,1.005,0.868,1.689,0.464,0.121,0.863,0.355
"ARG","ARGENTINA",1962,5,0,870.217490905403,-10.4104387859198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21072538,50.0160303424296,NA,NA,NA,NA,426919494.628906,NA,NA,NA,NA,NA,NA,NA,64.618,61.474,68.282,NA,NA,NA,NA,2.66,"Americas","South America",0.712,0.772,1.204,1.125,1.292,0.288,-0.974,2.128,2.305,0,0.333,0.5,0.5,0,0.667,0,0,0,0.167,0.833,0,0,0,0.206,0.344,0.785,0.039,0.304,0.884,0.124,-0.284,0.622,0.851,1.292,1.297,1.005,0.868,1.689,0.464,0.121,0.863,0.354
"ARG","ARGENTINA",1963,6,1,852.972425139433,-1.98169606405264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21421705,50.0597501459384,NA,NA,NA,NA,260181182.861328,NA,NA,NA,NA,NA,NA,NA,64.855,61.65,68.575,NA,NA,NA,NA,1.68,"Americas","South America",0.761,1.623,0.284,1.125,1.292,0.288,-0.974,2.128,2.305,0.167,0.5,0.333,0.667,0,0.833,0,0.167,0,0,0.667,0,0,0,0.226,0.226,0.785,0.686,0.306,1.991,1.712,0.183,0.727,1.116,1.444,1.489,1.456,1.204,1.69,0.923,0.121,0.863,0.353
"ARG","ARGENTINA",1964,6,1,1176.20086190313,37.8943594467148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21769453,50.1034844511948,NA,NA,NA,NA,-1921867.0129776,NA,NA,NA,NA,NA,NA,NA,64.816,61.609,68.537,NA,NA,NA,NA,1.15,"Americas","South America",0.816,1.623,1.205,1.125,1.292,0.288,-0.974,2.128,2.305,0.167,0.5,0.5,0.5,0,0.667,0,0.167,0,0,0.667,0,0,0,0.423,0.203,0.785,0.686,0.306,1.991,1.712,0.965,0.727,1.116,1.444,1.489,1.456,1.204,1.695,0.923,0.121,0.863,0.352
"ARG","ARGENTINA",1965,6,1,1281.83337976859,8.98082302835106,NA,NA,NA,NA,NA,12.9041629886915,NA,NA,NA,NA,22112629,50.1463326614699,NA,38.6813582857261,NA,NA,-441073333.740234,NA,NA,NA,NA,NA,NA,NA,65.053,61.783,68.819,NA,NA,NA,NA,1.07,"Americas","South America",0.736,1.623,-0.014,1.125,1.292,0.288,-0.974,2.128,2.305,0.167,0.5,0.5,0.5,0,0.667,0,0.167,0,0,0.667,0,0,0,0.427,0.196,0.785,0.686,0.338,1.991,1.712,0.965,0.727,1.116,1.444,1.489,1.456,1.204,1.695,0.923,0.599,0.863,0.339
"ARG","ARGENTINA",1966,-9,0,1275.07843418966,-0.526975321874485,NA,NA,NA,NA,NA,10.2787574725073,NA,NA,NA,NA,22453893,50.1862839635997,NA,40.1170927423721,NA,NA,-120212768.554688,NA,NA,NA,NA,NA,NA,NA,65.398,62.157,69.095,NA,NA,NA,NA,1.168,"Americas","South America",0.356,-0.568,-0.996,1.125,1.292,0.288,-0.974,2.128,2.305,0.167,0.67,0.245,0.67,0,0.837,0,0.167,0.085,0,0.497,0,0,0,0.202,0.379,0.321,0.686,0.338,1.223,-0.172,-0.779,0.638,0.858,1.309,0.122,0.104,1.204,1.695,0.923,0.599,0.863,0.377
"ARG","ARGENTINA",1967,-9,0,1063.93283833587,-16.5594202044502,NA,NA,NA,NA,NA,9.98038631665412,NA,NA,NA,NA,22799059,50.2254895695476,NA,42.6362011624409,NA,NA,66357719.4213867,NA,NA,NA,NA,NA,NA,NA,65.467,62.126,69.288,NA,NA,NA,NA,1.4,"Americas","South America",0.282,-0.971,-1.221,1.125,1.292,0.288,-0.974,2.128,2.305,0.167,0.833,0,0.833,0,1,0,0.167,0.167,0,0.333,0,0,0,0.089,0.624,-0.15,0.231,NA,-0.416,-1.109,-2.986,0.638,0.858,1.309,-0.215,0.104,NA,NA,NA,NA,0.863,0.452
"ARG","ARGENTINA",1968,-9,0,1141.95211617341,7.33310177356425,NA,NA,NA,NA,NA,9.72127698537181,NA,NA,NA,NA,23150583,50.2675267284834,NA,43.2426585257493,NA,NA,-31353643.4173584,NA,NA,NA,NA,NA,NA,NA,65.234,61.779,69.193,NA,NA,NA,NA,1.68571428571429,"Americas","South America",0.282,-0.971,-1.221,1.125,1.292,0.288,-0.508,2.128,2.305,0.167,0.833,0,0.833,0,1,0,0.167,0.167,0,0.333,0,0,0,0.084,0.624,-0.15,0.231,NA,-0.416,-1.109,-2.986,0.638,0.858,1.309,-0.215,0.104,NA,NA,NA,NA,0.863,0.452
"ARG","ARGENTINA",1969,-9,0,1329.56181832409,16.4288589244306,NA,NA,NA,NA,NA,9.18580964838541,NA,NA,NA,NA,23508711,50.3123714439299,NA,43.4271542070252,NA,NA,57573871.6125488,NA,NA,NA,NA,NA,NA,NA,65.085,61.553,69.133,NA,NA,NA,NA,1.9375,"Americas","South America",0.282,-0.971,-1.221,1.125,1.292,0.288,0.196,2.128,2.305,0.167,0.833,0,0.833,0,1,0,0.167,0.167,0,0.333,0,0,0,0.081,0.624,-0.15,0.231,NA,-0.416,-1.109,-2.986,0.638,0.858,1.309,-0.215,0.104,NA,NA,NA,NA,0.863,0.452
"ARG","ARGENTINA",1970,-9,0,1322.71454216808,-0.515002466349469,105.226760864258,NA,67.6584396362305,73.6693267822266,95.12735,9.6375609641048,NA,NA,NA,NA,23878327,50.3546333040837,NA,48.0836525009197,0.183779149216649,0.301180697327039,-26425924.3011475,NA,NA,NA,NA,NA,5.58580017089844,NA,65.647,62.165,69.564,NA,NA,NA,NA,1.87777777777778,"Americas","South America",0.282,-0.971,-1.221,1.125,1.292,0.288,0.442,2.128,2.305,0.261,0.833,0.094,0.833,0.094,0.812,0,0.167,0.167,0,0.333,0,0,0,0.092,0.585,-0.589,0.231,NA,-0.107,-1.109,-1.98,0.638,0.858,1.309,-0.215,0.104,NA,NA,NA,NA,0.863,0.481
