"countrycode","country","year","polity5","democracy","gdppc","gdppc_growth","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","oda","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name","v2x_regime","v2x_libdem","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csprtcpt","v2csgender","v2csantimv","v2csrlgrep","v2csrlgcon","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2x_neopat","v2dlencmps","v2elembaut","v2elvotbuy","v2exbribe","v2exembez","v2exrescon","v2jucomp","v2jucorrdc","v2juhccomp","v2juhcind","v2juncind","v2lgcrrpt","v2lgfunds","v2lginvstp","v2lgotovst","v2psprlnks","v2xnp_client"
"AFG","AFGHANISTAN",1960,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9035043,48.0882935476898,NA,NA,NA,NA,136674850.463867,NA,NA,NA,NA,NA,0.170626997947693,NA,32.799,32.136,33.549,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.066,0.268,-1.117,0.213,-0.577,-0.946,-1.209,-1.21,0.72,0.683,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.748,0.288,-2.349,-0.999,-0.244,-0.048,-0.434,0.144,-0.374,-1.071,-0.645,-1.106,0.526,-0.041,-0.792,-1.472,0.09,0.592
"AFG","AFGHANISTAN",1961,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9214083,48.1697310519126,NA,NA,NA,NA,268410064.697266,NA,NA,NA,NA,NA,NA,NA,33.291,32.626,34.043,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.066,0.287,-1.117,0.472,-0.577,-0.946,-1.209,-0.686,0.72,0.683,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.745,0.288,-2.349,-1.009,-0.244,-0.048,-0.434,0.144,-0.374,-1.071,-0.645,-1.106,0.526,-0.041,-0.792,-1.472,0.09,0.601
"AFG","AFGHANISTAN",1962,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9404406,48.2464814896337,NA,NA,NA,NA,129123580.932617,NA,NA,NA,NA,NA,NA,NA,33.757,33.098,34.502,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.066,0.287,-1.117,0.472,-0.577,-0.946,-1.209,-0.686,0.72,0.683,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.744,0.288,-2.349,-1.009,-0.244,-0.048,-0.434,0.144,-0.374,-1.071,-0.645,-1.106,0.526,-0.041,-0.792,-1.472,0.09,0.604
"AFG","AFGHANISTAN",1963,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9604487,48.3189159400184,NA,NA,NA,NA,276782653.808594,NA,NA,NA,NA,NA,NA,NA,34.201,33.543,34.945,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.071,0.287,-1.117,0.472,-0.577,-0.946,-1.209,-0.686,0.72,0.683,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.732,0.719,-2.349,-1.009,-0.244,-0.048,-0.434,0.144,-0.374,-1.071,-0.645,-1.106,0.526,-0.041,-0.257,-1.472,0.09,0.584
"AFG","AFGHANISTAN",1964,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9814318,48.3875089435659,NA,NA,NA,NA,339513946.533203,NA,NA,NA,NA,NA,NA,NA,34.673,34.004,35.428,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.092,0.387,-0.653,1.078,0.123,-0.946,-1.209,-0.061,0.72,0.683,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.664,0.719,-1.433,-1.009,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.584
"AFG","AFGHANISTAN",1965,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10036008,48.4527114765154,NA,NA,NA,NA,378861785.888672,NA,NA,NA,NA,NA,NA,NA,35.124,34.438,35.9,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.095,0.429,-0.386,1.078,0.123,-0.946,-1.006,-0.009,0.243,0.585,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.66,0.719,-1.433,-0.344,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.56
"AFG","AFGHANISTAN",1966,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10266395,48.5149608489678,NA,NA,NA,NA,342813140.869141,NA,NA,NA,NA,NA,NA,NA,35.583,34.877,36.38,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.097,0.429,-0.386,1.078,0.123,-0.946,-1.006,-0.009,0.243,0.585,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.65,0.719,-1.433,-0.344,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.505
"AFG","AFGHANISTAN",1967,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10505959,48.5741902691425,NA,NA,NA,NA,276872924.804688,NA,NA,NA,NA,NA,NA,NA,36.042,35.324,36.851,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.097,0.429,-0.386,1.078,0.123,-0.946,-1.006,-0.009,0.243,0.585,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.65,0.719,-1.433,-0.344,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.505
"AFG","AFGHANISTAN",1968,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10756922,48.6291476901243,NA,NA,NA,NA,190177947.998047,NA,NA,NA,NA,NA,NA,NA,36.51,35.825,37.281,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.097,0.383,-0.386,1.078,0.123,-1.83,-1.006,-0.009,0.243,0.585,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.65,0.719,-1.433,-0.344,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.505
"AFG","AFGHANISTAN",1969,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11017409,48.6799119466292,NA,NA,NA,NA,172307907.104492,NA,NA,NA,NA,NA,NA,NA,36.979,36.287,37.758,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.097,0.383,-0.386,1.078,0.123,-1.83,-1.006,-0.009,0.243,0.585,0.75,0.25,0,0,0.25,0.5,0.25,0,0.75,0,0,0,0,0,0.651,0.719,-1.433,-0.345,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.511
"AFG","AFGHANISTAN",1970,-7,0,NA,NA,31.6514205932617,NA,NA,NA,NA,NA,NA,NA,NA,NA,11290128,48.7277423894346,NA,NA,0.0265662947026768,0.87755385017819,185960617.06543,NA,NA,NA,NA,NA,0.199000000953674,NA,37.46,36.748,38.261,NA,NA,NA,NA,1.62960609911055,"Asia","Southern Asia",0,0.096,0.383,-0.386,1.078,0.123,-1.83,-1.006,-0.009,0.243,0.585,0.749,0.25,0,0,0.25,0.5,0.25,0,0.749,0,0,0,0,0.001,0.653,0.719,-1.433,-0.345,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.521
"AFG","AFGHANISTAN",1971,-7,0,NA,NA,32.5397186279297,NA,NA,NA,NA,NA,NA,NA,NA,NA,11567667,48.7729807574855,NA,NA,0.0453108139131106,1.03558414364505,276397247.314453,NA,NA,NA,NA,NA,NA,NA,37.932,37.202,38.752,NA,NA,NA,NA,NA,"Asia","Southern Asia",0,0.096,0.383,-0.386,1.078,0.123,-1.83,-1.006,-0.009,0.243,0.585,0.5,0.25,0,0,0.25,0.5,0.25,0,0.5,0,0,0,0,0.25,0.653,0.719,-1.433,-0.345,-0.244,-0.048,0.347,0.349,-0.374,-0.985,-0.645,-0.659,0.526,-0.041,-0.257,-0.768,0.09,0.521
