"countrycode","country","year","polity5","democracy","gdppc","gdppc_growth","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","oda","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name","v2x_regime","v2x_libdem","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csprtcpt","v2csgender","v2csantimv","v2csrlgrep","v2csrlgcon","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2x_neopat","v2dlencmps","v2elembaut","v2elvotbuy","v2exbribe","v2exembez","v2exrescon","v2jucomp","v2jucorrdc","v2juhccomp","v2juhcind","v2juncind","v2lgcrrpt","v2lgfunds","v2lginvstp","v2lgotovst","v2psprlnks","v2xnp_client"
"ALB","ALBANIA",1960,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1608800,49.631529774395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1026759147644,NA,56.413,54.005,58.877,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.046,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.599,-0.487,-2.828,2.299,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.085,-1.937,-1.194,1.83,0.159
"ALB","ALBANIA",1961,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1659800,49.6125477545783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.488,55.028,59.995,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.046,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.599,-0.487,-2.828,2.299,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.085,-1.937,-1.194,1.83,0.159
"ALB","ALBANIA",1962,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1711319,49.5776016167613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.494,56,61.047,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.046,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.597,-0.487,-2.828,2.32,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.085,-1.937,-1.194,1.83,0.156
"ALB","ALBANIA",1963,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762621,49.5449074518613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.479,56.938,62.086,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.046,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.611,-0.487,-2.828,2.32,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.841,-1.937,-1.194,1.83,0.154
"ALB","ALBANIA",1964,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814135,49.5156513210842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.404,57.824,63.048,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.046,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.32,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.154
"ALB","ALBANIA",1965,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1864791,49.4904746419808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.273,58.677,63.934,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,0.435,-2.781,-3.695,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.32,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.154
"ALB","ALBANIA",1966,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914573,49.469986590053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.149,59.543,64.814,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,1.015,-2.781,-3.695,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.293,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.155
"ALB","ALBANIA",1967,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965598,49.4564408338275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.976,60.364,65.642,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,1.015,-2.781,-4.058,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.293,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.156
"ALB","ALBANIA",1968,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022272,49.4546946817083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.788,61.151,66.476,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,1.015,-2.781,-4.058,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.293,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.156
"ALB","ALBANIA",1969,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2081695,49.4485571554511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.538,61.888,67.237,NA,NA,NA,NA,NA,"Europe","Southern Europe",0,0.054,0.024,-2.48,-2.784,-2.192,-3.114,1.015,-2.781,-4.058,-3.172,0.25,0,0.75,0,1,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0.6,-0.487,-2.828,2.293,1.959,1.161,-3.236,1.183,2.012,1.819,-1.38,-2.456,1.93,-0.087,-1.937,-1.194,1.83,0.156
