"countrycode","country","year","polity5","democracy","gdppc","gdppc_growth","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csprtcpt","v2csgender","v2csantimv","v2csrlgrep","v2csrlgcon","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2x_libdem","v2x_neopat","v2dlencmps","v2elembaut","v2elvotbuy","v2exbribe","v2exembez","v2exrescon","v2jucomp","v2jucorrdc","v2juhccomp","v2juhcind","v2juncind","v2lgcrrpt","v2lgfunds","v2lginvstp","v2lgotovst","v2psprlnks","v2xnp_client"
"BHR","BAHRAIN",1971,-10,0,1829.74070543315,NA,97.5456695556641,NA,NA,NA,76.33968,NA,NA,NA,NA,NA,230733,43.6530535294041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.279,64.037,67.007,NA,NA,NA,NA,NA,"Asia","Western Asia",0.384,-0.045,-0.575,-1.422,-0.337,-0.698,-0.246,0.789,-0.753,0.408,0.2,0,0.208,0.2,0.2,0,0,0,0,0,0,0,1,NA,NA,-0.755,-1.786,NA,-1.079,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.246
"BHR","BAHRAIN",1972,-10,0,2205.917004377,20.5589949344653,96.5225677490234,NA,NA,NA,79.20479,NA,NA,NA,NA,NA,242113,42.9768041237113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.095,64.899,67.791,NA,NA,NA,NA,NA,"Asia","Western Asia",0.405,-0.045,-0.27,-1.422,-0.337,-0.565,-0.246,0.789,-0.753,0.8,0.2,0,0.6,0.4,0.6,0,0,0,0,0,0,0,0.4,NA,0.853,-0.755,-1.786,1.033,-1.079,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.243
"BHR","BAHRAIN",1973,-7,0,2981.09253134976,35.1407385425041,96.5068893432617,NA,NA,NA,80.26908,NA,NA,NA,NA,NA,255320,42.437558994364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.922,65.759,68.581,NA,NA,NA,NA,NA,"Asia","Western Asia",0.405,-0.045,-0.27,-1.422,-0.337,-0.565,0.122,0.676,-0.753,0.8,0.2,0,0.6,0.4,0.6,0,0,0,0,0,0,0,0.4,NA,0.842,-0.755,-1.786,0.037,-1.079,-1.12,-2.599,NA,NA,NA,NA,-2.019,0.845,-1.792,0.367,-2.391,2.449,0.225
"BHR","BAHRAIN",1974,-7,0,3873.71629107511,29.9428397588583,97.8309936523438,NA,NA,NA,81.86211,NA,NA,NA,NA,NA,269038,41.9680491231722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.633,66.503,69.254,NA,NA,NA,NA,NA,"Asia","Western Asia",0.217,-1.093,-0.768,-1.422,-0.676,-0.267,0.637,0.548,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,0.874,-0.755,-1.786,0.037,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,0.845,-1.792,0.656,-2.391,2.449,0.301
"BHR","BAHRAIN",1975,-10,0,3880.44047162927,0.173584745213596,102.7099609375,NA,NA,NA,85.28601,NA,NA,NA,NA,NA,283243,41.5616923924249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.276,67.175,69.861,NA,NA,NA,NA,1.52617985442592,"Asia","Western Asia",0.193,-1.093,-0.98,-1.422,-0.935,-0.267,0.637,0.548,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,0.862,-0.755,-1.786,0.037,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,0.845,-1.792,1.238,-2.391,2.449,0.301
"BHR","BAHRAIN",1976,-10,0,5310.19132615533,36.84506604287,104.615417480469,NA,NA,NA,82.12487,NA,NA,NA,NA,NA,297863,41.2075350077049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.858,67.783,70.409,NA,NA,NA,NA,1.75228724031609,"Asia","Western Asia",0.114,-1.786,-1.21,-1.992,-0.935,-0.08,0.924,0.548,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,NA,-0.755,-1.786,NA,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.301
"BHR","BAHRAIN",1977,-10,0,6358.42084195442,19.7399575912837,106.381393432617,NA,NA,NA,82.11388,NA,NA,NA,NA,NA,312823,40.8950109167165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.383,68.332,70.902,NA,NA,NA,NA,2.07792207792208,"Asia","Western Asia",0.114,-1.786,-1.21,-1.992,-0.935,-0.08,0.924,0.548,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,NA,-0.755,-1.786,NA,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.301
"BHR","BAHRAIN",1978,-10,0,6925.98893207436,8.92624291828855,106.67066192627,NA,NA,NA,80.05571,NA,NA,NA,NA,NA,328046,40.6177792138907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.85,68.791,71.368,NA,NA,NA,NA,4.95813133539004,"Asia","Western Asia",0.114,-1.786,-1.21,-1.992,-0.935,-0.08,0.924,0.548,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,NA,-0.755,-1.786,NA,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.301
"BHR","BAHRAIN",1979,-10,0,7890.82982494874,13.9307310816826,107.168472290039,NA,NA,NA,80.69142,NA,NA,NA,NA,NA,343457,40.3682546337543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.296,69.251,71.787,NA,NA,NA,NA,5.89275191514437,"Asia","Western Asia",0.114,-1.786,-1.21,-1.992,-0.935,-0.08,0.924,0.411,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,NA,-0.755,-1.786,NA,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.301
"BHR","BAHRAIN",1980,-10,0,9732.72587186027,23.3422350725134,104.30980682373,NA,NA,NA,82.3983,NA,NA,NA,NA,NA,358978,40.1408999994429,NA,NA,68.1362125392305,71.3393304804284,NA,NA,NA,NA,NA,3.31439995765686,NA,70.684,69.659,72.144,NA,NA,NA,NA,5.69889130660035,"Asia","Western Asia",0.114,-1.786,-1.21,-1.992,-0.935,-0.08,0.924,-0.094,-1.566,0.8,0,0,0.6,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,NA,NA,-0.755,-1.786,NA,-2.461,-1.12,-2.599,NA,NA,NA,NA,-2.019,NA,NA,NA,NA,2.449,0.301
