"","countrycode","country","year","polity5","democracy","gdppc","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name"
"1","BLR","BELARUS",1991,6,1,1805.45592531527,92.6782913208008,NA,NA,NA,NA,22.2222222222222,NA,NA,NA,NA,10194050,53.0750531028933,100,22.2222222222222,0.683545756548029,0.699615527627753,NA,NA,NA,NA,NA,13.20470047,NA,70.3780487804878,65.5,75.5,NA,NA,NA,NA,NA,"Europe","Eastern Europe"
"2","BLR","BELARUS",1992,6,1,1658.08641281239,92.3167572021484,NA,NA,NA,NA,22.8260869565217,NA,NA,NA,20.5434782608696,10216470,53.0263435667279,100,27.1739130434783,0.678212480241202,2.26416851675533,NA,NA,NA,NA,NA,12.6906995773,NA,70.0219512195122,64.9,75.4,NA,NA,NA,NA,1.62249864791779,"Europe","Eastern Europe"
"3","BLR","BELARUS",1993,6,1,1589.51011343649,93.1810989379883,NA,92.3881912231445,90.1547698974609,NA,17.1573604060914,NA,NA,NA,26.6395939086294,10239050,52.9784585406512,100,40.6091370558376,0.683699221725561,2.21248202232482,NA,NA,NA,NA,NA,12.4762001038,NA,68.9707317073171,63.8,74.4,NA,NA,NA,NA,2.79097146104819,"Europe","Eastern Europe"
"4","BLR","BELARUS",1994,8,0,1460.00791360458,93.6358337402344,NA,96.0619277954102,91.5576629638672,NA,13.589613893104,NA,NA,0.000486,24.7501826561007,10226955,53.0917567782485,100,44.4107233181588,0.662921666065701,1.92293267171276,NA,NA,NA,NA,NA,12.4638996124,NA,68.7682926829268,63.5,74.3,NA,NA,NA,NA,3.62160825483893,"Europe","Eastern Europe"
"5","BLR","BELARUS",1995,0,0,1370.69991385664,94.7000427246094,NA,95.8876724243164,90.1920623779297,88.16409,15.766496709307,NA,NA,0.00292,19.8876469280001,10193831,53.2038455835686,100,41.1505481742626,0.764551766430683,2.29540392663341,NA,NA,NA,NA,NA,12.3800001144,NA,68.4609756097561,62.9,74.3,NA,NA,NA,NA,1.69946376942909,"Europe","Eastern Europe"
"6","BLR","BELARUS",1996,-7,0,1452.5071047646,96.0178604125977,NA,90.8895797729492,86.7380294799805,NA,15.098598303786,NA,NA,0.0293,18.7997748111698,10159569,53.1744402907981,100,39.3642585709892,0.962363803239676,3.37119722373573,NA,NA,NA,NA,NA,12.2700004578,NA,68.5121951219512,63,74.3,NA,NA,NA,NA,1.26069255990701,"Europe","Eastern Europe"
"7","BLR","BELARUS",1997,-7,0,1396.6571872706,99.7707672119141,NA,96.2648315429688,90.2350234985352,NA,13.4179320121037,NA,NA,0.049,20.7345909549383,10117433,53.1404370421339,100,37.9104762424011,0.782137211300665,3.18802305084874,NA,NA,NA,NA,NA,12.3599996567,NA,68.4609756097561,62.9,74.3,NA,NA,NA,NA,1.76896655126353,"Europe","Eastern Europe"
"8","BLR","BELARUS",1998,-7,0,1511.25979105507,103.712699890137,NA,NA,NA,NA,12.0617636126188,NA,NA,0.0739,17.1123289388046,10071963,53.115907330323,100,39.5825173998556,0.225994396151491,0.79713486531659,NA,NA,NA,NA,NA,12.4200000763,NA,68.4073170731707,62.7,74.4,NA,0.679016470909119,NA,NA,1.49509870243434,"Europe","Eastern Europe"
"9","BLR","BELARUS",1999,-7,0,1210.5874393672,113.760719299316,NA,100.684547424316,96.5962295532227,NA,12.7005575559539,NA,NA,0.495,16.6724761934976,10026738,53.1302472312847,100,40.0357361906424,0.852060708251057,1.72073029417856,100,100,99,NA,NA,12.6400003433,NA,67.9073170731707,62.2,73.9,NA,0.681540191173553,NA,NA,1.36676073838589,"Europe","Eastern Europe"
"10","BLR","BELARUS",2000,-7,0,1276.28038121269,115.920928955078,NA,105.457527160645,101.870559692383,NA,12.0968271694147,NA,NA,1.86,16.6247345026167,9979610,53.1666458652631,100,39.8946769143182,1.78844487580508,2.54557671523974,NA,NA,NA,NA,5.28088045,11.7,86,68.9121951219512,63.4,74.7,NA,0.697750926017761,NA,NA,1.34698415075765,"Europe","Eastern Europe"
