countrycode,country,year,polity5,democracy,gdppc,enrol_gross,primcomp,primcom_male,primcom_fem,enrol_net,agri,slums,telephone,internet,tax,pop,pop_fem,electricity,service,oil,natural,literacy,lit_male,lit_fem,infant,health_ex,hospital,tuberculosis,life,life_male,life_female,unemploy,urban,attend,prenatal,military,un_continent_name,un_region_name
ALB,ALBANIA,1960,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1608800,49.63152977,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.102675915,NA,56.413,54.005,58.877,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1961,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1659800,49.61254775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.488,55.028,59.995,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1962,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1711319,49.57760162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.494,56,61.047,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1963,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762621,49.54490745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.479,56.938,62.086,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1964,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814135,49.51565132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.404,57.824,63.048,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1965,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1864791,49.49047464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.273,58.677,63.934,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1966,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914573,49.46998659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.149,59.543,64.814,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1967,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965598,49.45644083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.976,60.364,65.642,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1968,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022272,49.45469468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.788,61.151,66.476,NA,NA,NA,NA,NA,Europe,Southern Europe
ALB,ALBANIA,1969,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2081695,49.44855716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.538,61.888,67.237,NA,NA,NA,NA,NA,Europe,Southern Europe
