"","countrycode","country","year","polity5","democracy","gdppc","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name"
"1","ARG","ARGENTINA",1960,5,1,778.251706763404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20386045,49.9141839429865,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35225057601929,NA,64.242,61.202,67.789,NA,NA,NA,NA,1.55,"Americas","South America"
"2","ARG","ARGENTINA",1961,5,1,971.338043308372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20726276,49.9721705915718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.631,61.526,68.236,NA,NA,NA,NA,2.14,"Americas","South America"
"3","ARG","ARGENTINA",1962,5,0,870.217490905403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21072538,50.0160303424296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.618,61.474,68.282,NA,NA,NA,NA,2.66,"Americas","South America"
"4","ARG","ARGENTINA",1963,6,1,852.972425139433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21421705,50.0597501459384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.855,61.65,68.575,NA,NA,NA,NA,1.68,"Americas","South America"
"5","ARG","ARGENTINA",1964,6,1,1176.20086190313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21769453,50.1034844511948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.816,61.609,68.537,NA,NA,NA,NA,1.15,"Americas","South America"
"6","ARG","ARGENTINA",1965,6,1,1281.83337976859,NA,NA,NA,NA,NA,12.9041629886915,NA,NA,NA,NA,22112629,50.1463326614699,NA,38.6813582857261,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.053,61.783,68.819,NA,NA,NA,NA,1.07,"Americas","South America"
"7","ARG","ARGENTINA",1966,-9,0,1275.07843418966,NA,NA,NA,NA,NA,10.2787574725073,NA,NA,NA,NA,22453893,50.1862839635997,NA,40.1170927423721,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.398,62.157,69.095,NA,NA,NA,NA,1.168,"Americas","South America"
"8","ARG","ARGENTINA",1967,-9,0,1063.93283833587,NA,NA,NA,NA,NA,9.98038631665412,NA,NA,NA,NA,22799059,50.2254895695476,NA,42.6362011624409,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.467,62.126,69.288,NA,NA,NA,NA,1.4,"Americas","South America"
"9","ARG","ARGENTINA",1968,-9,0,1141.95211617341,NA,NA,NA,NA,NA,9.72127698537181,NA,NA,NA,NA,23150583,50.2675267284834,NA,43.2426585257493,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.234,61.779,69.193,NA,NA,NA,NA,1.68571428571429,"Americas","South America"
"10","ARG","ARGENTINA",1969,-9,0,1329.56181832409,NA,NA,NA,NA,NA,9.18580964838541,NA,NA,NA,NA,23508711,50.3123714439299,NA,43.4271542070252,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.085,61.553,69.133,NA,NA,NA,NA,1.9375,"Americas","South America"
"11","ARG","ARGENTINA",1970,-9,0,1322.71454216808,105.769477844238,NA,66.8884124755859,73.1060562133789,95.12735,9.6375609641048,NA,NA,NA,NA,23878327,50.3546333040837,NA,48.0836525009197,0.183779149216649,0.301180697327039,NA,NA,NA,NA,NA,5.58580017089844,NA,65.647,62.165,69.564,NA,NA,NA,NA,1.87777777777778,"Americas","South America"
"12","ARG","ARGENTINA",1971,-9,0,1372.50746646061,106.752098083496,NA,69.0968170166016,75.0981597900391,NA,10.8658823843399,NA,NA,NA,NA,24257208,50.4023257746728,NA,43.1787867210794,0.312886775004762,0.43636922778285,NA,NA,NA,NA,NA,NA,NA,65.619,62.21,69.417,NA,NA,NA,NA,1.80769230769231,"Americas","South America"
"13","ARG","ARGENTINA",1972,-9,0,1409.37097316211,106.286819458008,NA,NA,NA,NA,10.984869871837,NA,NA,NA,NA,24644328,50.4570037187866,NA,43.4334758186795,0.359047343543258,0.502356036574644,NA,NA,NA,NA,NA,NA,NA,65.953,62.517,69.764,NA,NA,NA,NA,1.82380952380952,"Americas","South America"
"14","ARG","ARGENTINA",1973,6,1,2097.89945010806,105.710746765137,NA,NA,NA,NA,11.9525224881086,NA,NA,NA,NA,25046005,50.5091849977671,NA,44.6950283481664,0.412805282018559,0.576658816124267,NA,NA,NA,NA,NA,NA,NA,66.186,62.671,70.087,NA,NA,NA,NA,1.84857142857143,"Americas","South America"
"15","ARG","ARGENTINA",1974,6,1,2844.96990526761,106.127319335938,NA,NA,NA,96.62253,10.2308377488651,NA,NA,NA,NA,25461351,50.5580438367155,NA,46.176359627142,1.65885773770647,1.8513473465424,NA,NA,NA,NA,NA,NA,NA,66.405,62.808,70.371,NA,1,NA,NA,1.65918367346939,"Americas","South America"
"16","ARG","ARGENTINA",1975,6,1,2026.68435752865,105.472259521484,NA,75.3161163330078,81.6728286743164,96.32775,6.5839104917193,NA,NA,NA,NA,25874107,50.5985887744841,NA,43.2747682872493,2.11889964582298,2.41761839929652,NA,NA,NA,NA,NA,NA,NA,66.965,63.367,70.913,NA,NA,NA,NA,2.04195804195804,"Americas","South America"
"17","ARG","ARGENTINA",1976,-9,0,1946.91990388248,105.146507263184,NA,74.8862075805664,81.0571594238281,NA,8.15217071197931,NA,NA,NA,NA,26282283,50.6314158477024,NA,40.9540839979597,2.35967093826561,2.67110832885348,NA,NA,NA,NA,NA,NA,NA,67.03,63.406,70.983,NA,NA,NA,NA,3.78129117259552,"Americas","South America"
"18","ARG","ARGENTINA",1977,-9,0,2126.48546048047,105.946830749512,NA,NA,NA,NA,8.0871421139688,NA,NA,NA,NA,26701805,50.6602175643264,NA,44.1066558208208,1.93385257138462,2.15976492115428,NA,NA,NA,NA,NA,NA,NA,67.595,63.944,71.559,NA,NA,NA,NA,4.00860009555662,"Americas","South America"
"19","ARG","ARGENTINA",1978,-9,0,3282.06304446289,105.351020812988,NA,NA,NA,NA,7.5044274778029,NA,NA,NA,NA,27132158,50.6828797031183,NA,46.3979525030898,2.19019719332059,2.41643044783543,NA,NA,NA,NA,NA,NA,NA,67.999,64.535,71.708,NA,NA,NA,NA,4.71914405808177,"Americas","South America"
