countrycode,country,year,polity5,democracy,gdppc,enrol_gross,primcomp,primcom_male,primcom_fem,enrol_net,agri,slums,telephone,internet,tax,pop,pop_fem,electricity,service,oil,natural,literacy,lit_male,lit_fem,infant,health_ex,hospital,tuberculosis,life,life_male,life_female,unemploy,urban,attend,prenatal,military,un_continent_name,un_region_name
BHR,BAHRAIN,1971,-10,0,1829.740705,97.54566956,NA,NA,NA,76.33968,NA,NA,NA,NA,NA,230733,43.65305353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.279,64.037,67.007,NA,NA,NA,NA,NA,Asia,Western Asia
BHR,BAHRAIN,1972,-10,0,2205.917004,96.52256775,NA,NA,NA,79.20479,NA,NA,NA,NA,NA,242113,42.97680412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.095,64.899,67.791,NA,NA,NA,NA,NA,Asia,Western Asia
BHR,BAHRAIN,1973,-7,0,2981.092531,96.50688934,NA,NA,NA,80.26908,NA,NA,NA,NA,NA,255320,42.43755899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.922,65.759,68.581,NA,NA,NA,NA,NA,Asia,Western Asia
BHR,BAHRAIN,1974,-7,0,3873.716291,97.83099365,NA,NA,NA,81.86211,NA,NA,NA,NA,NA,269038,41.96804912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.633,66.503,69.254,NA,NA,NA,NA,NA,Asia,Western Asia
BHR,BAHRAIN,1975,-10,0,3880.440472,102.7099609,NA,NA,NA,85.28601,NA,NA,NA,NA,NA,283243,41.56169239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.276,67.175,69.861,NA,NA,NA,NA,1.526179854,Asia,Western Asia
BHR,BAHRAIN,1976,-10,0,5310.191326,104.6154175,NA,NA,NA,82.12487,NA,NA,NA,NA,NA,297863,41.20753501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.858,67.783,70.409,NA,NA,NA,NA,1.75228724,Asia,Western Asia
BHR,BAHRAIN,1977,-10,0,6358.420842,106.3813934,NA,NA,NA,82.11388,NA,NA,NA,NA,NA,312823,40.89501092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.383,68.332,70.902,NA,NA,NA,NA,2.077922078,Asia,Western Asia
BHR,BAHRAIN,1978,-10,0,6925.988932,106.6706619,NA,NA,NA,80.05571,NA,NA,NA,NA,NA,328046,40.61777921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.85,68.791,71.368,NA,NA,NA,NA,4.958131335,Asia,Western Asia
BHR,BAHRAIN,1979,-10,0,7890.829825,107.1684723,NA,NA,NA,80.69142,NA,NA,NA,NA,NA,343457,40.36825463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.296,69.251,71.787,NA,NA,NA,NA,5.892751915,Asia,Western Asia
BHR,BAHRAIN,1980,-10,0,9732.725872,104.3098068,NA,NA,NA,82.3983,NA,NA,NA,NA,NA,358978,40.1409,NA,NA,68.13621254,71.33933048,NA,NA,NA,NA,NA,3.314399958,NA,70.684,69.659,72.144,NA,NA,NA,NA,5.698891307,Asia,Western Asia
BHR,BAHRAIN,1981,-10,0,10556.50917,97.87882996,NA,NA,NA,81.99603,NA,NA,NA,NA,NA,373524,40.01643803,NA,NA,58.06992227,60.66773702,70,77,59,NA,NA,NA,NA,71.037,70.033,72.46,NA,NA,NA,NA,6.902581566,Asia,Western Asia
BHR,BAHRAIN,1982,-10,0,10712.15294,94.43698883,NA,98.83040619,79.98316193,80.6088,NA,NA,NA,NA,NA,386983,40.01478105,NA,NA,33.74233688,34.77567484,NA,NA,NA,NA,NA,NA,NA,71.354,70.379,72.732,NA,NA,NA,NA,8.535161949,Asia,Western Asia
BHR,BAHRAIN,1983,-10,0,10598.84272,93.01683807,NA,85.73908997,77.25019836,83.25855,NA,NA,NA,NA,NA,400707,40.05145905,NA,NA,29.04194909,32.24359949,NA,NA,NA,NA,NA,NA,NA,71.637,70.696,72.963,NA,NA,NA,NA,4.790336018,Asia,Western Asia
BHR,BAHRAIN,1984,-10,0,10696.93311,97.31001282,NA,82.16127777,78.87255096,86.6106,NA,NA,NA,NA,NA,415154,40.10319062,NA,NA,31.88710605,34.6847206,NA,NA,NA,NA,NA,NA,NA,71.884,70.98,73.151,NA,NA,NA,NA,4.179305696,Asia,Western Asia
BHR,BAHRAIN,1985,-10,0,9648.65643,99.68923187,NA,86.63636017,79.34705353,91.05123,NA,NA,NA,NA,NA,430358,40.16957975,NA,NA,30.41492827,33.93451447,NA,NA,NA,NA,NA,NA,NA,72.092,71.23,73.291,NA,NA,NA,NA,4.588158182,Asia,Western Asia
BHR,BAHRAIN,1986,-10,0,7776.956577,102.1488113,NA,83.28446198,80.21053314,96.14373,NA,NA,NA,NA,NA,446286,40.24750944,NA,NA,23.31229589,28.21599703,NA,NA,NA,NA,NA,NA,NA,72.257,71.443,73.376,NA,NA,NA,NA,5.837762481,Asia,Western Asia
