countrycode,country,year,polity5,democracy,gdppc,enrol_gross,primcomp,primcom_male,primcom_fem,enrol_net,agri,slums,telephone,internet,tax,pop,pop_fem,electricity,service,oil,natural,literacy,lit_male,lit_fem,infant,health_ex,hospital,tuberculosis,life,life_male,life_female,unemploy,urban,attend,prenatal,military,un_continent_name,un_region_name
BRN,BRUNEI,1985,NA,0,31827.40596,115.7028885,NA,NA,NA,NA,0.166982527,NA,NA,NA,NA,218919,44.86570437,NA,11.17508181,30.035503,34.7995987,NA,NA,NA,NA,NA,NA,NA,70.499,69.188,72.349,NA,NA,NA,NA,2.88778814,Asia,South-Eastern Asia
BRN,BRUNEI,1986,NA,0,18500.54086,120.3991318,NA,126.4552383,144.8634644,80.08959,0.342778524,NA,NA,NA,NA,226495,44.98843247,NA,20.3539042,22.96911355,33.9562596,NA,NA,NA,NA,NA,NA,NA,70.762,69.387,72.68,NA,NA,NA,NA,4.670729808,Asia,South-Eastern Asia
BRN,BRUNEI,1987,NA,0,21029.71898,117.5152206,NA,NA,NA,NA,0.390456867,NA,NA,NA,NA,233860,45.09621141,NA,19.48118119,26.78553762,35.10040697,NA,NA,NA,NA,NA,NA,NA,70.982,69.529,72.99,NA,NA,NA,NA,3.792514955,Asia,South-Eastern Asia
BRN,BRUNEI,1988,NA,0,18824.76373,118.5726318,NA,NA,NA,NA,0.524939407,NA,NA,NA,NA,240913,45.17873746,NA,25.07250085,19.00032323,26.42396251,NA,NA,NA,NA,NA,NA,NA,71.183,69.713,73.189,NA,NA,NA,NA,6.6299771,Asia,South-Eastern Asia
BRN,BRUNEI,1989,NA,0,20090.06902,119.4331284,NA,NA,NA,NA,0.578052221,NA,NA,NA,NA,248064,45.23894947,NA,26.18212233,25.64667249,32.95956893,NA,NA,NA,NA,NA,NA,NA,71.408,69.875,73.482,NA,NA,NA,NA,6.21043627,Asia,South-Eastern Asia
BRN,BRUNEI,1990,NA,0,23658.71663,NA,NA,NA,NA,NA,0.574692028,NA,NA,0,NA,255292,45.29323285,100,25.03910735,30.68383826,38.94423345,NA,NA,NA,NA,NA,NA,NA,71.629,70.031,73.773,NA,NA,NA,NA,6.437735269,Asia,South-Eastern Asia
BRN,BRUNEI,1991,NA,0,23932.18975,105.4666138,NA,NA,NA,89.85875,0.590984762,NA,NA,NA,NA,262596,45.37197825,100,27.1622987,17.84870479,24.54448977,88,92,82,NA,NA,NA,NA,71.858,70.2,74.059,NA,NA,NA,NA,6.404350125,Asia,South-Eastern Asia
BRN,BRUNEI,1992,NA,0,23450.89644,101.5131836,NA,NA,NA,91.66947,0.645461662,NA,NA,NA,NA,269839,45.47064927,100,30.09584549,19.12817311,26.00345513,NA,NA,NA,NA,NA,NA,NA,72.09,70.374,74.345,NA,NA,NA,NA,6.245144781,Asia,South-Eastern Asia
BRN,BRUNEI,1993,NA,0,22397.07379,99.23284912,NA,NA,NA,94.30621,0.744869173,NA,NA,NA,NA,276971,45.56200627,100,32.94052856,18.79361968,27.54145021,NA,NA,NA,NA,NA,NA,NA,72.333,70.561,74.64,NA,NA,NA,NA,5.740231735,Asia,South-Eastern Asia
BRN,BRUNEI,1994,NA,0,22766.58719,97.91522217,NA,NA,NA,94.42407,0.856251483,NA,NA,NA,NA,284091,45.64734539,100,36.32416944,16.05004497,26.06340431,NA,NA,NA,NA,NA,NA,NA,72.571,70.76,74.904,NA,NA,NA,NA,5.982471359,Asia,South-Eastern Asia
